105677.8432844057,64448.03830817773,6.296545635139609,3.309364962431234,1300,85000
km,fuel,age,price
0.48601,-1,0.51474,0.12425
0.56359,-1,0.21256,0.08602
-1.12583,-1,-0.69395,0.18148
0.76530,-1,0.81691,0.09200
-0.86392,-1,-0.69395,0.18756
-0.86392,-1,-0.69395,0.19355
-0.47756,-1,0.21256,0.15054
-0.85061,-1,-0.99613,0.17551
0.22223,-1,0.51474,0.13978
0.51704,-1,-0.69395,0.13967
-1.39754,-1,-1.60047,0.34283
-0.19671,-1,0.81691,0.09797
0.29981,-1,0.51474,0.14576
0.37739,-1,-0.69395,0.15173
0.84288,-1,0.81691,0.09200
-1.15902,-1,-1.29830,0.23524
-0.17344,-1,-0.39178,0.13977
-0.27430,-1,0.51474,0.11589
-0.81006,-1,0.21256,0.13967
-0.05707,-1,0.21256,0.12784
-0.68494,-1,-0.99613,0.16249
0.22223,-1,0.21256,0.14576
0.65669,-1,1.11908,0.12186
0.71875,-1,0.81691,0.09200
-0.27430,-1,-0.39178,0.16249
-0.10982,-1,0.21256,0.12294
-1.18200,-1,-0.69395,0.18746
-0.46049,-1,1.11908,0.15412
1.33941,-1,1.42126,0.05018
-0.10206,-1,0.21256,0.12784
-0.08810,-1,0.21256,0.18996
0.19120,1,0.81691,0.13381
-1.45664,-1,-0.08961,0.09200
1.15321,-1,0.51474,0.07288
-0.75136,-1,-0.69395,0.21004
-0.13465,-1,-0.08961,0.14934
-0.87168,-1,-0.69395,0.19343
-1.39923,-1,-1.60047,0.32975
0.78082,-1,1.11908,0.06571
1.13769,-1,0.21256,0.07348
-1.25183,-1,-1.29830,0.19952
0.94064,-1,0.81691,0.09188
0.05155,-1,0.51474,0.07407
0.88943,-1,1.11908,0.07407
0.88943,-1,1.11908,0.06213
2.31694,-1,1.72343,0.05615
-0.25878,1,1.72343,0.09188
-0.12449,-1,-0.69395,0.21027
1.40147,-1,1.72343,0.04301
-1.62422,1,-1.90264,0.61171
1.80490,-1,1.11908,0.05603
-1.45182,-1,-1.60047,0.37240
-0.55359,-1,-0.99613,0.16308
-1.53888,-1,-1.90264,0.46117
0.68772,-1,-0.08961,0.09916
0.28429,1,0.81691,0.11588
-0.15792,-1,-0.69395,0.20550
1.65509,1,2.02560,0.03823
1.55508,-1,0.21256,0.06093
-1.05596,-1,-0.99613,0.27001
-0.67761,-1,-0.99613,0.17437
-1.06756,-1,-1.90264,0.23524
0.84288,-1,0.51474,0.09080
-0.13465,-1,0.51474,0.12784
1.24631,-1,1.72343,0.05376
1.35492,-1,0.51474,0.07527
1.46354,-1,1.42126,0.04182
-0.28981,-1,0.21256,0.13978
0.84288,-1,-0.69395,0.14934
-1.17637,-1,-1.60047,0.21732
-1.00357,-1,-0.69395,0.15149
-0.57997,-1,-0.99613,0.18136
-1.11943,-1,-0.69395,0.18495
0.78858,-1,1.11908,0.09080
-1.24551,-1,-1.60047,0.35364
1.38596,-1,1.42126,0.05614
0.07327,1,1.11908,0.16846
1.16873,-1,0.51474,0.12174
-0.64669,-1,-0.69395,0.22939
1.23079,-1,0.81691,0.12784
0.35567,-1,0.21256,0.07993
-1.23226,1,-1.60047,0.30466
0.75940,-1,0.81691,0.06691
-1.03226,1,-0.99613,0.40251
-0.24326,-1,-0.69395,0.17324
0.81185,-1,0.81691,0.13381
-0.98960,-1,-1.60047,0.18746
0.82737,-1,0.81691,0.07993
0.29981,-1,0.81691,0.09558
1.30837,-1,0.81691,0.09797
-1.12615,-1,-0.69395,0.17192
0.24955,1,1.72343,0.06213
1.06011,-1,1.42126,0.06691
-0.47601,-1,-0.69395,0.14576
0.11361,-1,-0.69395,0.18160
-1.33700,-1,-1.29830,0.29391
0.59462,1,1.42126,0.14576
0.71267,-1,0.21256,0.12067
-0.76340,-1,-0.99613,0.25866
-0.69324,-1,-1.29830,0.21744
-1.40389,-1,-1.60047,0.34170
-1.30148,-1,-1.29830,0.22330
1.69628,-1,1.72343,0.06213
-0.66221,-1,-0.69395,0.20550
-0.19671,-1,-0.08961,0.14576
-0.01773,-1,-0.08961,0.12055
2.86001,-1,-0.69395,0.08483
-1.45742,-1,-1.60047,0.24719
1.56439,-1,1.42126,0.05615
-0.92598,-1,-0.69395,0.19116
1.23079,-1,1.11908,0.05496
0.50152,-1,0.21256,0.08005
0.81961,-1,1.42126,0.06691
-0.10362,-1,-0.39178,0.17563
1.09487,-1,1.11908,0.05603
1.40147,-1,1.42126,0.05615
1.92903,-1,1.42126,0.05018
0.25326,-1,0.51474,0.08602
2.13850,-1,1.11908,0.05006
-1.47682,-1,-1.90264,0.27718
0.42394,-1,0.21256,0.08244
1.09115,-1,1.72343,0.05603
1.10666,-1,1.42126,0.06810
-1.60870,-1,-1.90264,0.36667
-1.34493,-1,1.72343,0.04182
0.36188,-1,-0.39178,0.15161
0.37739,-1,0.51474,0.08959
1.02908,-1,1.72343,0.05854
-0.53807,1,-0.39178,0.18996
-1.05322,1,-0.39178,0.19116
-0.03001,-1,-0.39178,0.16356
0.62565,-1,1.42126,0.07049
-0.39843,-1,-0.69395,0.18746
0.68772,-1,0.51474,0.06810
0.71875,-1,0.81691,0.09797
-1.38372,-1,-1.29830,0.28196
1.13769,-1,1.72343,0.06798
0.57910,-1,1.11908,0.08961
0.37739,-1,1.11908,0.08602
-1.40403,-1,-1.60047,0.29114
0.76530,-1,1.42126,0.05735
0.78082,-1,0.51474,0.08602
-1.19752,-1,-1.29830,0.30705
-0.67088,-1,-0.69395,0.19940
0.88943,-1,0.81691,0.13369
0.28429,-1,0.21256,0.11589
